,OVERALL - RunTime(ms),OVERALL - Throughput(ops/sec),TOTAL_GCS_PS_Scavenge - Count,TOTAL_GC_TIME_PS_Scavenge - Time(ms),TOTAL_GC_TIME_%_PS_Scavenge - Time(%),TOTAL_GCS_PS_MarkSweep - Count,TOTAL_GC_TIME_PS_MarkSweep - Time(ms),TOTAL_GC_TIME_%_PS_MarkSweep - Time(%),TOTAL_GCs - Count,TOTAL_GC_TIME - Time(ms),TOTAL_GC_TIME_% - Time(%),READ - Operations,READ - AverageLatency(us),READ - MinLatency(us),READ - MaxLatency(us),READ - 95thPercentileLatency(us),READ - 99thPercentileLatency(us),READ - Return=OK,CLEANUP - Operations,CLEANUP - AverageLatency(us),CLEANUP - MinLatency(us),CLEANUP - MaxLatency(us),CLEANUP - 95thPercentileLatency(us),CLEANUP - 99thPercentileLatency(us),INSERT - Operations,INSERT - AverageLatency(us),INSERT - MinLatency(us),INSERT - MaxLatency(us),INSERT - 95thPercentileLatency(us),INSERT - 99thPercentileLatency(us),INSERT - Return=OK
0,192,5208.333333333333,0,0,0.0,0,0,0.0,0,0,0.0,949,13.030558482613277,2,1196,35,60,949,1,1021.0,1021,1021,1021,1021,51,61.627450980392155,28,481,125,223,51
1,192,5208.333333333333,0,0,0.0,0,0,0.0,0,0,0.0,952,14.792016806722689,2,645,38,58,952,1,1298.0,1298,1298,1298,1298,48,78.64583333333333,31,356,232,356,48
2,189,5291.005291005291,0,0,0.0,0,0,0.0,0,0,0.0,931,13.534908700322234,2,649,37,61,931,1,1110.0,1110,1110,1110,1110,69,61.04347826086956,27,394,147,362,69
3,200,5000.0,0,0,0.0,0,0,0.0,0,0,0.0,950,17.04736842105263,3,1560,41,66,950,1,1343.0,1343,1343,1343,1343,50,89.74,36,509,262,509,50
4,184,5434.782608695652,0,0,0.0,0,0,0.0,0,0,0.0,951,12.606729758149317,2,641,35,56,951,1,1052.0,1052,1052,1052,1052,49,64.20408163265306,29,361,208,361,49
5,191,5235.602094240838,0,0,0.0,0,0,0.0,0,0,0.0,944,14.509533898305085,2,713,38,69,944,1,1329.0,1329,1329,1329,1329,56,70.41071428571429,24,395,192,241,56
6,190,5263.1578947368425,0,0,0.0,0,0,0.0,0,0,0.0,958,15.022964509394573,3,663,36,53,958,1,1345.0,1345,1345,1345,1345,42,87.28571428571429,45,365,251,365,42
7,198,5050.50505050505,0,0,0.0,0,0,0.0,0,0,0.0,941,17.0,2,1619,46,76,941,1,1049.0,1049,1049,1049,1049,59,75.8135593220339,30,589,222,274,59
8,190,5263.1578947368425,0,0,0.0,0,0,0.0,0,0,0.0,954,15.928721174004194,2,737,40,64,954,1,1042.0,1042,1042,1042,1042,46,79.52173913043478,31,415,193,415,46
9,187,5347.593582887701,0,0,0.0,0,0,0.0,0,0,0.0,949,14.726027397260275,2,683,37,56,949,1,1328.0,1328,1328,1328,1328,51,73.33333333333333,26,353,145,224,51
10,199,5025.125628140703,0,0,0.0,0,0,0.0,0,0,0.0,959,19.19499478623566,3,892,49,83,959,1,1372.0,1372,1372,1372,1372,41,93.6829268292683,45,538,158,538,41
11,189,5291.005291005291,0,0,0.0,0,0,0.0,0,0,0.0,952,14.796218487394958,2,687,37,61,952,1,1343.0,1343,1343,1343,1343,48,79.85416666666667,25,503,218,503,48
12,178,5617.9775280898875,0,0,0.0,0,0,0.0,0,0,0.0,942,12.295116772823778,2,677,33,55,942,1,1025.0,1025,1025,1025,1025,58,61.58620689655172,27,381,131,274,58
13,194,5154.639175257732,0,0,0.0,0,0,0.0,0,0,0.0,950,14.771578947368422,2,657,38,63,950,1,1352.0,1352,1352,1352,1352,50,85.6,29,401,277,401,50
14,194,5154.639175257732,0,0,0.0,0,0,0.0,0,0,0.0,949,18.377239199157007,4,380,49,70,949,1,1409.0,1409,1409,1409,1409,51,100.19607843137256,46,669,224,340,51
15,192,5208.333333333333,0,0,0.0,0,0,0.0,0,0,0.0,952,16.28046218487395,2,621,40,64,952,1,1372.0,1372,1372,1372,1372,48,84.02083333333333,36,400,207,400,48
16,178,5617.9775280898875,0,0,0.0,0,0,0.0,0,0,0.0,953,12.640083945435467,2,665,31,52,953,1,1035.0,1035,1035,1035,1035,47,60.02127659574468,27,418,144,418,47
17,187,5347.593582887701,0,0,0.0,0,0,0.0,0,0,0.0,933,13.279742765273312,2,1209,36,61,933,1,1040.0,1040,1040,1040,1040,67,65.25373134328358,24,521,193,263,67
18,188,5319.148936170212,0,0,0.0,0,0,0.0,0,0,0.0,953,13.683105981112277,2,1115,39,61,953,1,1414.0,1414,1414,1414,1414,47,70.59574468085107,26,538,165,538,47
19,211,4739.336492890995,0,0,0.0,0,0,0.0,0,0,0.0,938,20.52558635394456,3,642,65,95,938,1,1347.0,1347,1347,1347,1347,62,100.88709677419355,31,1227,253,479,62
